sysID,PLL-therm,CPU-therm,PMIC-Die,GPU-therm,AO-therm,thermal-fan-est,epoch
2,49.5,52.0,100.0,50.5,58.5,50.75,1616657058.6295953
2,50.5,54.5,100.0,51.0,58.5,52.5,1616657058.6295953
2,51.5,55.0,100.0,52.0,59.5,53.0,1616657058.6295953
2,52.0,55.5,100.0,52.0,60.5,54.0,1616657058.6295953
2,52.5,55.5,100.0,53.0,60.5,54.25,1616657058.6295953
2,53.0,56.0,100.0,53.0,61.5,54.5,1616657058.6295953
2,53.5,56.0,100.0,53.5,61.5,54.5,1616657058.6295953
2,53.5,57.0,100.0,54.0,62.0,55.5,1616657058.6295953
2,54.0,57.0,100.0,53.5,62.0,55.0,1616657058.6295953
2,53.5,56.0,100.0,53.5,62.0,54.5,1616657058.6295953
2,53.0,55.5,100.0,53.5,62.0,54.5,1616657058.6295953
2,52.5,55.0,100.0,53.5,61.0,54.5,1616657058.6295953
2,53.0,55.0,100.0,53.5,61.0,54.25,1616657058.6295953
2,53.5,55.5,100.0,53.5,61.5,54.5,1616657058.6295953
2,53.0,55.5,100.0,53.5,61.5,54.25,1616657058.6295953
2,53.0,55.0,100.0,53.5,61.0,54.0,1616657058.6295953
2,52.5,55.0,100.0,53.0,61.0,54.25,1616657058.6295953
2,52.5,55.0,100.0,53.0,61.0,54.5,1616657058.6295953
2,53.0,55.5,100.0,53.0,61.5,54.25,1616657058.6295953
2,53.0,55.0,100.0,53.5,61.5,54.5,1616657058.6295953
