Time: 1616655169, System 1, Ping: 1247
Time: 1616655180, System 1, Ping: 1412
Time: 1616655189, System 1, Ping: 946
Time: 1616655200, System 1, Ping: 1084
Time: 1616655209, System 1, Ping: 860
Time: 1616655220, System 1, Ping: 788
Time: 1616655230, System 1, Ping: 823
Time: 1616655240, System 1, Ping: 695
Time: 1616655250, System 1, Ping: 673
Time: 1616655259, System 1, Ping: 463
Time: 1616655270, System 1, Ping: 682
Time: 1616655280, System 1, Ping: 445
Time: 1616655290, System 1, Ping: 713
Time: 1616655300, System 1, Ping: 552
Time: 1616655311, System 1, Ping: 1191
Time: 1616655321, System 1, Ping: 1068
Time: 1616655331, System 1, Ping: 1155
Time: 1616655342, System 1, Ping: 1416
Time: 1616655351, System 1, Ping: 1240
Time: 1616655361, System 1, Ping: 926
Time: 1616655371, System 1, Ping: 914
Time: 1616655381, System 1, Ping: 862
Time: 1616655392, System 1, Ping: 1335
Time: 1616655401, System 1, Ping: 949
Time: 1616655411, System 1, Ping: 924
Time: 1616655422, System 1, Ping: 1203
Time: 1616655432, System 1, Ping: 903
Time: 1616655441, System 1, Ping: 677
Time: 1616655452, System 1, Ping: 1020
Time: 1616655462, System 1, Ping: 1197
Time: 1616655472, System 1, Ping: 1133
Time: 1616655482, System 1, Ping: 1113
Time: 1616655492, System 1, Ping: 889
Time: 1616655503, System 1, Ping: 1013
Time: 1616655512, System 1, Ping: 518
Time: 1616655523, System 1, Ping: 710
Time: 1616655533, System 1, Ping: 772
Time: 1616655543, System 1, Ping: 952
Time: 1616655553, System 1, Ping: 899
Time: 1616655564, System 1, Ping: 1173
Time: 1616655574, System 1, Ping: 1091
Time: 1616655584, System 1, Ping: 1146
Time: 1616655594, System 1, Ping: 1215
Time: 1616655603, System 1, Ping: 456
Time: 1616655614, System 1, Ping: 1172
Time: 1616655624, System 1, Ping: 1107
Time: 1616655634, System 1, Ping: 1019
Time: 1616655645, System 1, Ping: 1143
Time: 1616655654, System 1, Ping: 817
Time: 1616655665, System 1, Ping: 737
Time: 1616655675, System 1, Ping: 1375
Time: 1616655685, System 1, Ping: 1182
Time: 1616655695, System 1, Ping: 819
Time: 1616655705, System 1, Ping: 1206
Time: 1616655715, System 1, Ping: 299
Time: 1616655725, System 1, Ping: 788
Time: 1616655736, System 1, Ping: 1607
Time: 1616655746, System 1, Ping: 1371
Time: 1616655755, System 1, Ping: 888
Time: 1616655765, System 1, Ping: 781
Time: 1616655775, System 1, Ping: 822
Time: 1616655785, System 1, Ping: 634
Time: 1616655795, System 1, Ping: 496
Time: 1616655806, System 1, Ping: 1318
Time: 1616655816, System 1, Ping: 746
Time: 1616655827, System 1, Ping: 1269
Time: 1616655836, System 1, Ping: 676
Time: 1616655847, System 1, Ping: 816
Time: 1616655857, System 1, Ping: 1355
Time: 1616655868, System 1, Ping: 1397
Time: 1616655877, System 1, Ping: 738
Time: 1616655888, System 1, Ping: 996
Time: 1616655898, System 1, Ping: 1118
Time: 1616655908, System 1, Ping: 1061
