sysID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,roll,pitch,yaw,gps0_lat,gps0_lon,gps0_alt,gps1_lat,gps1_lon,gps1_alt,gps2_lat,gps2_lon,gps2_alt,gps3_lat,gps3_lon,gps3_alt,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,qt1,qt2,qt3,qt4,epoch,magVec1,magVec2,magVec3
2,-14628.2109502,-19894.2345245,-15527.8280916,4.52204109924,9.28243455979,-78.3467925754,nan,nan,nan,0.0,[],[],[],-37.8189725,144.94871233333333,1188.3,-37.81925783333333,144.95097583333333,279.8,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.1192303,0.0,0.0,0.0
2,-15029.544009,-20646.2447955,-15531.197511,-6248.28220467,-17819.4447306,-100.54111207,nan,nan,nan,0.0,[],[],[],-37.8189725,144.94871233333333,1188.3,-37.81925783333333,144.95097583333333,279.8,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.1937032,0.0,0.0,0.0
2,-15240.9351719,-20858.9192986,-15532.8566994,-8357.83175715,-13602.5652707,-93.6292592987,nan,nan,nan,0.0,[],[],[],-37.8189725,144.94871233333333,1188.3,-37.81925783333333,144.95097583333333,279.8,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.2551696,0.0,0.0,0.0
2,-15269.0067935,-20933.6624592,-15533.5710339,-5352.95997446,-9195.64014156,-72.8679157821,nan,nan,-inf,0.0,[],[],[],-37.8189725,144.94871233333333,1188.3,-37.81925783333333,144.95097583333333,279.8,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.307688,0.0,0.0,0.0
2,-15273.2053876,-20948.2189886,-15533.7694949,-3545.42152428,-6190.463954,-53.4620911851,nan,nan,inf,0.0,[],[],[],-37.818971166666664,144.94870733333335,1187.6,-37.81925783333333,144.95097583333333,279.8,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.3575156,0.0,0.0,0.0
2,-15269.405534,-20945.6428785,-15533.7586234,-2463.90992649,-4352.83735337,-39.1542511754,nan,nan,inf,0.0,[],[],[],-37.818971166666664,144.94870733333335,1187.6,-37.81925783333333,144.95097583333333,279.8,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.4018102,0.0,0.0,0.0
2,-15263.9718766,-20938.4860984,-15533.6778139,-1794.30367412,-3197.73220696,-29.1562825549,nan,nan,inf,0.0,[],[],[],-37.818971166666664,144.94870733333335,1187.6,-37.81925783333333,144.95097583333333,279.8,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.4413953,0.0,0.0,0.0
2,-15258.5840355,-20930.5884211,-15533.5396452,-1357.93252277,-2437.64326563,-21.7410733666,nan,nan,inf,0.0,[],[],[],-37.818971166666664,144.94870733333335,1187.6,-37.819257666666665,144.950977,280.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.4811873,0.0,0.0,0.0
2,-15253.7310643,-20923.1230454,-15533.4158036,-1060.38786251,-1915.17676989,-16.5253003646,nan,nan,inf,0.0,[],[],[],-37.818971166666664,144.94870733333335,1187.6,-37.819257666666665,144.950977,280.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.5279565,0.0,0.0,0.0
2,-15249.4724519,-20916.4037814,-15533.3074076,-849.347387768,-1542.24967996,-12.7352771615,nan,nan,-inf,0.0,[],[],[],-37.818971166666664,144.94870733333335,1187.6,-37.819257666666665,144.950977,280.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.5658834,0.0,0.0,0.0
2,-15245.7612062,-20910.455749,-15533.212603,-694.660770467,-1267.43501766,-9.89447807755,nan,nan,-inf,0.0,[],[],[],-37.818971166666664,144.94870733333335,1187.6,-37.819257666666665,144.950977,280.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.6048331,0.0,0.0,0.0
2,-15242.5246629,-20905.2119607,-15533.1289851,-578.114145947,-1059.3867488,-7.70390968729,nan,nan,-inf,0.0,[],[],[],-37.818971166666664,144.94870733333335,1187.6,-37.819257666666665,144.950977,280.3,-35.84156328,143.1362385,63.2729524,-35.96631476,143.3707744,64.82851725,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,1.0,0.0,1616657704.6472483,0.0,0.0,0.0
