epoch, lon, lat, alt, ascent_rate 
1616656886.0,144.9514395,-37.82011966666666,131.9,0.0
1616656887.0,144.951446,-37.820124,130.8,0.0
1616656888.0,144.95145516666668,-37.82012833333334,129.3,0.0
1616656889.0,144.9514665,-37.820135666666665,128.1,0.0
1616656890.0,144.951471,-37.8201365,126.7,0.0
1616656891.0,144.95148216666666,-37.8201445,125.2,0.0
1616656892.0,144.95149466666666,-37.820155166666666,124.0,0.0
1616656893.0,144.95150583333333,-37.8201655,123.2,0.0
1616656894.0,144.9515175,-37.820174333333334,122.3,0.0
1616656895.0,144.95152133333335,-37.820176333333336,121.0,-1.2111111111111117
1616656896.0,144.951534,-37.820188,120.2,-1.1777777777777787
1616656897.0,144.9515445,-37.8201955,119.6,-1.0777777777777797
1616656898.0,144.95155433333332,-37.82020416666667,119.0,-1.0111111111111104
1616656899.0,144.9515655,-37.8202165,118.4,-0.9222222222222219
1616656900.0,144.95158233333333,-37.820234166666665,117.4,-0.8666666666666664
1616656901.0,144.951591,-37.820244,116.8,-0.8000000000000003
1616656902.0,144.95160383333334,-37.82025983333333,115.9,-0.8111111111111108
1616656903.0,144.95161433333334,-37.82027266666667,115.3,-0.7777777777777778
1616656904.0,144.95162516666667,-37.82028533333333,114.9,-0.6777777777777771
1616656905.0,144.9516385,-37.82030266666666,114.8,-0.6000000000000006
1616656906.0,144.95164683333334,-37.82031466666667,115.1,-0.5
1616656907.0,144.95165383333332,-37.820326666666666,115.5,-0.3888888888888889
1616656908.0,144.95166,-37.820339,115.6,-0.3111111111111124
1616656909.0,144.95166566666666,-37.820351333333335,115.7,-0.18888888888888922
1616656910.0,144.95167083333334,-37.82036316666667,115.6,-0.13333333333333364
1616656911.0,144.95167416666666,-37.82037366666667,115.3,-0.06666666666666761
1616656912.0,144.951679,-37.820385,115.1,-0.02222222222222254
1616656913.0,144.95168333333334,-37.820394666666665,114.6,-0.033333333333334596
1616656914.0,144.95168783333332,-37.820404833333335,114.4,-0.044444444444443496
1616656915.0,144.95168916666665,-37.820412166666664,114.1,-0.1111111111111111
1616656916.0,144.9516875,-37.82041683333333,113.4,-0.2333333333333327
1616656917.0,144.951691,-37.820425666666665,112.9,-0.2999999999999987
1616656918.0,144.95169233333334,-37.82043266666667,112.3,-0.37777777777777843
1616656919.0,144.951694,-37.82044,111.8,-0.4222222222222219
1616656920.0,144.9517005,-37.8204515,111.0,-0.47777777777777747
1616656921.0,144.95170766666666,-37.820463833333335,110.4,-0.5222222222222209
1616656922.0,144.95171683333334,-37.820479166666665,109.8,-0.533333333333333
1616656923.0,144.9517175,-37.82048616666667,109.0,-0.6000000000000006
1616656924.0,144.9517225,-37.82049466666667,108.5,-0.6222222222222216
1616656925.0,144.951725,-37.82049966666666,107.9,-0.6111111111111112
1616656926.0,144.95171783333333,-37.820489,109.8,-0.3444444444444454
1616656927.0,144.9517115,-37.82048,111.5,-0.08888888888888857
1616656928.0,144.95170916666666,-37.82047716666667,112.5,0.0777777777777781
1616656929.0,144.951705,-37.8204695,114.0,0.3333333333333333
1616656930.0,144.9517015,-37.82046183333333,115.4,0.5555555555555556
1616656931.0,144.95169833333333,-37.8204535,117.0,0.8000000000000003
1616656932.0,144.95169416666667,-37.82044533333333,118.9,1.1000000000000005
1616656933.0,144.95168933333332,-37.8204355,120.1,1.2888888888888883
1616656934.0,144.95168816666666,-37.82043433333333,120.1,1.3555555555555543
1616656935.0,144.951686,-37.82042933333334,120.9,1.2333333333333343
1616656936.0,144.95168666666666,-37.8204245,121.6,1.1222222222222216
1616656937.0,144.95168483333333,-37.82041983333333,121.9,1.0444444444444452
1616656938.0,144.951682,-37.82041866666667,122.5,0.9444444444444444
1616656939.0,144.9516765,-37.82041816666667,122.6,0.7999999999999987
1616656940.0,144.95167733333332,-37.820417166666665,122.7,0.6333333333333336
1616656941.0,144.95167566666666,-37.82041566666667,122.9,0.4444444444444444
1616656942.0,144.9516695,-37.820415,123.4,0.3666666666666679
1616656943.0,144.95166433333333,-37.82041266666667,124.4,0.477777777777779
1616656944.0,144.95166366666666,-37.820416,124.7,0.4222222222222219
1616656945.0,144.95165716666668,-37.8204155,125.3,0.4111111111111114
1616656946.0,144.951653,-37.82041616666667,125.3,0.3777777777777768
1616656947.0,144.951645,-37.820414666666665,126.0,0.3888888888888889
1616656948.0,144.95163833333334,-37.8204085,126.8,0.466666666666667
1616656949.0,144.95163216666666,-37.820400666666664,127.9,0.5777777777777781
1616656950.0,144.95162116666665,-37.8203865,129.2,0.6999999999999981
1616656951.0,144.95161216666668,-37.82037833333333,129.5,0.6777777777777771
1616656952.0,144.95160233333334,-37.820369166666666,129.7,0.588888888888887
1616656953.0,144.951591,-37.82036033333333,130.5,0.6444444444444442
1616656954.0,144.95157933333334,-37.82035116666667,131.2,0.6555555555555546
1616656955.0,144.95156983333334,-37.820343666666666,131.6,0.6999999999999997
1616656956.0,144.95156016666667,-37.8203345,132.5,0.7222222222222222
1616656957.0,144.951551,-37.820326666666666,133.5,0.7444444444444448
1616656958.0,144.95153983333333,-37.82031683333334,134.7,0.7555555555555536
1616656959.0,144.95152966666666,-37.8203055,135.8,0.7333333333333358
1616656960.0,144.95152033333332,-37.82029633333333,137.1,0.8444444444444438
1616656961.0,144.951512,-37.820291,138.2,0.9444444444444444
1616656962.0,144.9515065,-37.82028966666667,139.0,0.9444444444444444
1616656963.0,144.9515005,-37.82028616666667,139.5,0.9222222222222235
1616656964.0,144.95149566666666,-37.82028283333333,140.4,0.9777777777777791
