sysID,PLL-therm,CPU-therm,PMIC-Die,GPU-therm,AO-therm,thermal-fan-est,epoch
2,50.0,51.5,100.0,51.0,59.0,51.0,1616657928.6976812
2,50.5,54.5,100.0,51.0,59.0,52.75,1616657928.6976812
2,51.5,54.0,100.0,52.0,59.0,52.75,1616657928.6976812
2,51.5,54.0,100.0,52.0,60.0,53.0,1616657928.6976812
2,52.0,54.5,100.0,52.5,60.0,53.75,1616657928.6976812
2,52.0,55.0,100.0,52.5,60.5,54.0,1616657928.6976812
2,52.5,55.0,100.0,52.5,61.0,53.75,1616657928.6976812
2,52.5,55.5,100.0,53.0,60.5,54.0,1616657928.6976812
2,53.0,55.0,100.0,53.0,61.0,54.0,1616657928.6976812
2,53.0,56.0,100.0,53.5,61.5,54.75,1616657928.6976812
2,53.0,55.5,100.0,53.5,62.0,55.0,1616657928.6976812
2,53.5,56.0,100.0,53.5,62.0,55.0,1616657928.6976812
2,52.5,55.5,100.0,53.5,61.5,55.0,1616657928.6976812
2,53.5,57.0,100.0,53.5,61.5,55.0,1616657928.6976812
2,53.5,56.5,100.0,54.0,62.0,55.0,1616657928.6976812
2,54.0,56.5,100.0,54.0,62.0,55.0,1616657928.6976812
2,54.0,56.5,100.0,54.0,62.0,55.25,1616657928.6976812
2,53.5,56.5,100.0,54.5,62.0,55.0,1616657928.6976812
2,54.0,56.5,100.0,54.5,62.0,55.75,1616657928.6976812
2,54.0,56.5,100.0,54.0,62.0,55.5,1616657928.6976812
2,55.0,57.0,100.0,54.5,63.0,55.75,1616657928.6976812
2,54.5,57.5,100.0,54.5,63.0,56.0,1616657928.6976812
2,54.0,57.0,100.0,54.5,62.5,56.0,1616657928.6976812
2,54.0,56.5,100.0,54.5,63.0,55.5,1616657928.6976812
2,54.5,57.0,100.0,55.0,63.0,55.5,1616657928.6976812
2,55.0,57.5,100.0,55.0,63.5,56.75,1616657928.6976812
2,55.0,57.5,100.0,55.0,63.0,56.25,1616657928.6976812
2,54.5,57.0,100.0,55.0,63.0,56.25,1616657928.6976812
2,54.5,57.5,100.0,55.0,63.0,56.0,1616657928.6976812
2,54.5,57.0,100.0,55.0,63.0,56.0,1616657928.6976812
2,55.0,57.5,100.0,55.0,64.0,57.0,1616657928.6976812
2,55.5,58.0,100.0,55.5,63.5,56.5,1616657928.6976812
2,55.5,58.5,100.0,55.0,63.5,56.5,1616657928.6976812
2,55.0,57.5,100.0,55.5,63.5,56.5,1616657928.6976812
2,55.5,58.0,100.0,55.5,63.0,56.5,1616657928.6976812
2,56.0,57.5,100.0,56.0,64.0,57.25,1616657928.6976812
2,55.5,58.0,100.0,55.5,64.0,56.75,1616657928.6976812
2,55.5,58.5,100.0,55.5,64.0,56.75,1616657928.6976812
2,55.0,58.5,100.0,55.5,64.0,57.25,1616657928.6976812
2,55.0,58.0,100.0,56.0,63.5,56.75,1616657928.6976812
2,55.5,57.5,100.0,56.0,63.5,57.0,1616657928.6976812
2,55.5,58.0,100.0,56.0,64.0,56.75,1616657928.6976812
2,55.5,58.0,100.0,55.5,64.0,57.25,1616657928.6976812
2,55.5,57.5,100.0,56.0,63.5,57.0,1616657928.6976812
2,55.5,58.5,100.0,55.5,63.5,56.75,1616657928.6976812
2,55.5,58.0,100.0,55.5,64.0,57.0,1616657928.6976812
2,55.5,58.5,100.0,55.5,64.0,57.25,1616657928.6976812
2,55.5,58.0,100.0,56.0,64.0,57.0,1616657928.6976812
2,56.0,57.5,100.0,55.5,64.0,56.75,1616657928.6976812
2,55.5,58.0,100.0,55.5,64.0,57.0,1616657928.6976812
2,55.5,59.0,100.0,55.5,64.5,57.25,1616657928.6976812
2,56.0,58.0,100.0,56.0,64.5,57.25,1616657928.6976812
2,56.0,59.5,100.0,56.0,64.5,57.75,1616657928.6976812
2,56.0,58.0,100.0,55.5,64.0,56.75,1616657928.6976812
2,55.5,59.0,100.0,56.0,64.0,57.0,1616657928.6976812
2,56.0,58.5,100.0,56.0,64.0,57.25,1616657928.6976812
2,56.5,58.5,100.0,56.0,64.5,57.25,1616657928.6976812
2,55.5,59.0,100.0,56.0,64.5,57.5,1616657928.6976812
2,56.0,58.0,100.0,55.5,64.0,57.25,1616657928.6976812
2,55.5,58.5,100.0,56.0,64.0,57.5,1616657928.6976812
2,55.5,59.0,100.0,56.0,64.0,57.25,1616657928.6976812
2,56.0,59.0,100.0,56.0,64.5,57.75,1616657928.6976812
2,56.0,59.5,100.0,56.5,64.0,57.5,1616657928.6976812
2,55.5,58.0,100.0,56.0,64.5,57.0,1616657928.6976812
2,55.5,59.0,100.0,56.5,65.0,57.25,1616657928.6976812
2,56.0,59.0,100.0,56.0,64.5,57.5,1616657928.6976812
2,56.5,59.0,100.0,56.0,64.5,57.5,1616657928.6976812
2,56.5,59.5,100.0,56.5,65.0,58.25,1616657928.6976812
2,56.0,59.5,100.0,56.5,65.0,57.75,1616657928.6976812
2,56.5,58.5,100.0,56.0,64.5,57.0,1616657928.6976812
2,56.5,59.0,100.0,56.5,65.0,57.75,1616657928.6976812
2,56.0,59.5,100.0,56.0,64.5,57.25,1616657928.6976812
2,55.5,59.0,100.0,56.0,65.0,57.25,1616657928.6976812
2,55.5,59.0,100.0,56.0,64.5,57.5,1616657928.6976812
2,55.5,58.5,100.0,56.0,64.5,57.75,1616657928.6976812
2,56.5,58.5,100.0,56.5,65.0,57.5,1616657928.6976812
2,56.5,59.5,100.0,56.0,65.0,57.75,1616657928.6976812
2,56.0,58.5,100.0,56.0,64.5,57.25,1616657928.6976812
2,56.0,59.0,100.0,56.5,64.5,58.0,1616657928.6976812
2,56.5,58.5,100.0,56.0,65.0,57.0,1616657928.6976812
2,57.0,59.0,100.0,56.5,65.0,58.25,1616657928.6976812
2,56.5,59.0,100.0,56.0,65.0,57.75,1616657928.6976812
2,56.0,59.0,100.0,56.5,65.0,57.5,1616657928.6976812
2,56.0,59.0,100.0,56.0,65.0,57.75,1616657928.6976812
2,56.5,60.0,100.0,56.5,64.5,58.25,1616657928.6976812
2,56.5,59.0,100.0,56.0,65.0,58.0,1616657928.6976812
2,56.5,59.0,100.0,56.5,64.5,58.0,1616657928.6976812
2,56.5,58.5,100.0,56.0,64.0,57.5,1616657928.6976812
2,56.0,59.0,100.0,56.0,65.0,57.75,1616657928.6976812
2,56.5,58.5,100.0,56.5,65.0,58.25,1616657928.6976812
2,57.0,58.5,100.0,56.5,64.5,57.75,1616657928.6976812
2,56.5,58.5,100.0,56.5,64.5,57.75,1616657928.6976812
2,56.5,59.5,100.0,56.5,65.0,58.25,1616657928.6976812
2,56.0,59.0,100.0,56.5,65.0,57.25,1616657928.6976812
2,57.0,60.0,100.0,56.5,65.0,58.0,1616657928.6976812
2,57.0,59.0,100.0,57.0,65.0,58.0,1616657928.6976812
2,56.5,59.5,100.0,57.0,65.0,58.25,1616657928.6976812
2,56.5,59.5,100.0,57.0,65.0,58.25,1616657928.6976812
2,56.5,60.0,100.0,57.0,65.0,58.75,1616657928.6976812
2,57.0,60.0,100.0,57.0,65.0,58.75,1616657928.6976812
2,56.5,59.0,100.0,56.5,65.0,58.25,1616657928.6976812
2,57.0,59.5,100.0,57.0,65.0,58.5,1616657928.6976812
2,56.5,59.5,100.0,57.0,65.5,58.25,1616657928.6976812
2,57.0,60.0,100.0,57.5,65.5,58.25,1616657928.6976812
2,57.0,59.5,100.0,57.5,65.0,58.5,1616657928.6976812
2,56.0,59.0,100.0,57.0,65.0,58.5,1616657928.6976812
2,56.5,60.0,100.0,57.0,65.0,58.25,1616657928.6976812
2,57.0,59.5,100.0,57.0,65.5,58.25,1616657928.6976812
2,57.0,60.0,100.0,57.5,65.0,58.5,1616657928.6976812
2,57.0,60.5,100.0,57.0,65.5,58.25,1616657928.6976812
2,56.5,59.0,100.0,57.0,65.5,58.25,1616657928.6976812
2,56.5,59.5,100.0,57.5,65.0,58.25,1616657928.6976812
2,57.5,59.5,100.0,57.5,65.0,59.0,1616657928.6976812
2,57.0,60.0,100.0,57.0,65.5,58.25,1616657928.6976812
2,57.0,60.5,100.0,57.0,65.5,58.25,1616657928.6976812
2,57.0,60.0,100.0,57.5,65.0,58.75,1616657928.6976812
2,57.5,59.0,100.0,57.0,65.0,58.0,1616657928.6976812
2,57.0,60.0,100.0,57.5,65.5,59.0,1616657928.6976812
2,57.0,60.0,100.0,57.5,65.0,58.5,1616657928.6976812
2,57.0,59.0,100.0,56.5,65.0,58.5,1616657928.6976812
2,57.0,60.0,100.0,57.0,65.5,58.75,1616657928.6976812
2,57.0,60.5,100.0,57.5,65.5,58.5,1616657928.6976812
2,57.0,59.0,100.0,57.5,65.5,58.5,1616657928.6976812
2,56.5,60.5,100.0,57.0,65.5,58.5,1616657928.6976812
2,57.0,59.5,100.0,57.0,65.5,58.5,1616657928.6976812
2,56.5,59.5,100.0,57.0,65.0,58.25,1616657928.6976812
2,57.5,59.5,100.0,57.0,65.5,58.5,1616657928.6976812
2,57.5,60.0,100.0,57.0,65.0,58.25,1616657928.6976812
2,57.0,60.0,100.0,56.5,65.0,58.0,1616657928.6976812
2,56.5,60.0,100.0,57.5,65.0,58.0,1616657928.6976812
2,57.0,59.5,100.0,57.5,65.0,58.75,1616657928.6976812
2,57.0,59.5,100.0,57.5,65.5,58.25,1616657928.6976812
2,57.5,59.5,100.0,57.5,65.5,58.75,1616657928.6976812
2,57.5,59.5,100.0,57.5,65.0,58.5,1616657928.6976812
2,57.0,59.5,100.0,57.0,65.5,58.75,1616657928.6976812
2,57.5,61.0,100.0,57.0,65.5,59.0,1616657928.6976812
2,57.5,60.0,100.0,57.0,65.5,58.5,1616657928.6976812
2,57.5,60.0,100.0,57.5,65.0,58.75,1616657928.6976812
2,57.0,59.0,100.0,57.5,65.5,58.5,1616657928.6976812
2,57.0,60.5,100.0,57.5,65.5,58.5,1616657928.6976812
2,57.0,60.0,100.0,57.5,66.0,59.0,1616657928.6976812
2,57.5,60.0,100.0,57.5,65.5,58.5,1616657928.6976812
2,57.5,59.5,100.0,57.0,65.5,58.5,1616657928.6976812
2,57.0,59.0,100.0,57.5,65.5,59.0,1616657928.6976812
2,58.0,60.0,100.0,58.0,66.0,59.0,1616657928.6976812
2,57.5,61.0,100.0,57.5,66.0,59.0,1616657928.6976812
2,57.5,60.0,100.0,57.5,65.5,59.25,1616657928.6976812
2,57.5,60.5,100.0,57.5,65.5,59.0,1616657928.6976812
