sysID,PLL-therm,CPU-therm,PMIC-Die,GPU-therm,AO-therm,thermal-fan-est,epoch
2,43.5,45.5,100.0,44.0,51.5,44.5,1616653875.014709
2,45.5,48.5,100.0,45.5,53.5,46.75,1616653875.014709
2,46.0,48.5,100.0,46.5,54.0,47.25,1616653875.014709
2,47.0,49.5,100.0,47.0,55.0,48.25,1616653875.014709
2,47.0,49.5,100.0,47.5,55.5,48.25,1616653875.014709
2,48.0,51.0,100.0,48.5,56.0,49.5,1616653875.014709
2,48.0,51.0,100.0,49.0,56.5,50.25,1616653875.014709
2,48.0,51.0,100.0,48.5,57.0,50.25,1616653875.014709
2,48.0,50.5,100.0,49.0,56.5,49.5,1616653875.014709
2,48.0,50.5,100.0,48.5,56.0,49.75,1616653875.014709
2,48.0,50.5,100.0,49.0,56.0,49.25,1616653875.014709
2,48.5,50.0,100.0,48.5,56.5,49.0,1616653875.014709
2,49.0,51.0,100.0,49.0,57.0,50.0,1616653875.014709
2,48.5,51.5,100.0,48.5,57.0,49.75,1616653875.014709
2,49.0,51.0,100.0,48.5,56.5,49.75,1616653875.014709
2,48.5,51.0,100.0,48.0,56.5,49.5,1616653875.014709
2,48.0,50.0,100.0,48.5,56.0,49.5,1616653875.014709
2,47.5,50.5,100.0,48.0,56.0,49.25,1616653875.014709
2,48.0,49.5,100.0,48.5,56.0,48.75,1616653875.014709
2,47.5,49.5,100.0,48.0,56.5,49.5,1616653875.014709
2,48.0,51.5,100.0,48.5,57.0,50.0,1616653875.014709
2,48.0,51.0,100.0,49.0,56.0,49.75,1616653875.014709
2,49.0,52.0,100.0,49.5,57.5,50.75,1616653875.014709
2,47.5,51.5,100.0,49.0,56.5,50.0,1616653875.014709
2,48.5,50.0,100.0,48.5,56.0,49.5,1616653875.014709
2,48.0,50.5,100.0,48.5,56.5,50.0,1616653875.014709
2,48.5,51.0,100.0,49.0,57.0,50.5,1616653875.014709
2,49.0,50.5,100.0,49.0,57.0,49.75,1616653875.014709
2,49.5,52.0,100.0,49.5,57.0,51.0,1616653875.014709
2,50.0,53.0,100.0,50.0,58.0,52.0,1616653875.014709
