p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,l0x,l0y,l1x,l1y,l2x,l2y,l3x,l3y,l4x,l4y,iteration,execution_time,gps0_lon,gps0_lat,gps0_alt,gps1_lon,gps1_lat,gps1_alt,gps2_lon,gps2_lat,gps2_alt,gps3_lon,gps3_lat,gps3_alt,gps4_lon,gps4_lat,gps4_alt
1.0,1.0,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,1.0,1.0,-3.89867225361,3.39412280098,96936.1525234,84924.5179862,82861.1902426,105946.459512,75143.8848978,49505.2435632,49,18.38098454475403,1.0,1.0,1.0,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
1.0,1.0,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,1.0,1.0,-1.92847169346,5.44198578558,96939.6907625,84925.8259226,82862.9240988,105946.727357,75147.7151171,49497.5278233,49,18.98281717300415,1.0,1.0,1.0,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
1.0,1.0,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,1.0,1.0,-5.41377863127,4.23969585701,96939.1952107,84925.6427332,82858.8624,105945.8643,75158.9225034,49493.2706933,49,19.599334001541138,1.0,1.0,1.0,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
1.0,1.0,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,1.0,1.0,5.0,-8.0,96936.9283765,84924.8054219,82859.4387368,105947.382144,75147.0210125,49504.3712418,49,23.001441478729248,1.0,1.0,1.0,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
1.0,1.0,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,1.0,1.0,8.99995858396,-7.30127978784e-05,96939.5647722,84925.7773453,82865.0577532,105944.987529,75153.6574602,49495.3200576,49,24.545149326324463,1.0,1.0,1.0,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
