p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,l0x,l0y,l1x,l1y,l2x,l2y,l3x,l3y,l4x,l4y,iteration,execution_time,gps0_lon,gps0_lat,gps0_alt,gps1_lon,gps1_lat,gps1_alt,gps2_lon,gps2_lat,gps2_alt,gps3_lon,gps3_lat,gps3_alt,gps4_lon,gps4_lat,gps4_alt
-3033526.90248,-3909539.39455,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,10.0,-2.0,96938.8930076,84925.5492204,82860.3736933,105946.847793,75144.9094382,49506.8357793,49,52.045066833496094,0.0,0.0,0.0,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-3033526.90248,-3909539.39455,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-0.797984214782,-0.855781539456,96940.7598871,84926.3284624,82856.0212347,105946.333981,75147.2227256,49504.4776766,49,52.590247631073,0.0,0.0,0.0,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-3033526.90248,-3909539.39455,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,11.0,-5.0,96941.7001832,84927.0412338,82863.5887647,105945.022876,75147.3298147,49504.1782384,49,52.33090043067932,0.0,0.0,0.0,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-3033526.90248,-3909539.39455,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-3033525.90248,-3909541.39455,96938.5984649,84926.1659822,82863.4342134,105944.373237,75155.7567706,49497.7763293,49,55.12996506690979,0.0,0.0,0.0,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-3033526.90248,-3909539.39455,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-3033532.90248,-3909535.39455,96937.2296267,84925.4989327,82863.4301946,105945.100225,75141.6374976,49506.6580674,49,53.85551738739014,0.0,0.0,0.0,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-3033526.90248,-3909539.39455,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-3033517.90248,-3909542.39455,96939.5138212,84926.7470468,82864.8296659,105946.930679,75156.3221012,49497.4882342,49,54.194106340408325,0.0,0.0,0.0,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-3033526.90248,-3909539.39455,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-3033526.90248,-3909547.39455,96937.69701,84925.7335311,82856.0945206,105950.860682,75148.3384797,49501.3153074,49,52.675976514816284,0.0,0.0,0.0,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-3033526.90248,-3909539.39455,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-3033527.90248,-3909544.39455,96938.9329772,84926.288161,82855.5350293,105949.002898,75142.552678,49507.1733941,49,52.07673645019531,0.0,0.0,0.0,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-3033526.90248,-3909539.39455,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-3033519.90248,-3909540.39455,96939.2723802,84926.609128,82864.3567971,105944.615881,75150.0371923,49502.382018,49,54.94641852378845,0.0,0.0,0.0,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-3033526.90248,-3909539.39455,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-3033528.90248,-3909534.39455,96937.8415838,84925.8850001,82863.9810659,105948.204839,75148.1011941,49501.2471399,49,54.73070311546326,0.0,0.0,0.0,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
