p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,l0x,l0y,l1x,l1y,l2x,l2y,l3x,l3y,l4x,l4y,iteration,execution_time,gps0_lon,gps0_lat,gps0_alt,gps1_lon,gps1_lat,gps1_alt,gps2_lon,gps2_lat,gps2_alt,gps3_lon,gps3_lat,gps3_alt,gps4_lon,gps4_lat,gps4_alt
1,1,-3033526,-3909539,46111,68943,39213,70591,10587,44070,1.0,1.0,-3033518.0,-3909539.0,44824.0,66747.0,38377.0,69171.0,9419.0,41974.0,49,54.23885893821716,1,1,1,0,0,0,142,-36,14068,142,-36,16630,142,-36,11507
1,1,-3033526,-3909539,47773,71778,40230,72274,12178,46966,1.0,1.0,-3033525.0,-3909549.0,46556.0,69707.0,39483.0,71065.0,10991.0,44823.0,49,52.67669630050659,1,1,1,0,0,0,142,-36,14378,142,-36,16997,142,-36,11759
1,1,-3033526,-3909539,49401,74549,41196,73781,13919,50095,1.0,1.0,-3033526.0,-3909544.0,48220.0,72546.0,40498.0,72707.0,12630.0,47805.0,49,53.02241277694702,1,1,1,0,0,0,143,-36,14696,143,-36,17375,142,-36,12018
1,1,-3033526,-3909539,50883,77074,42046,75014,15683,53227,1.0,1.0,-3033533.0,-3909537.0,49824.0,75276.0,41439.0,74155.0,14401.0,50974.0,49,52.3617045879364,1,1,1,0,0,0,143,-36,15001,143,-36,17737,142,-36,12266
1,1,-3033526,-3909539,52347,79565,42854,76080,17532,56487,1.0,1.0,-3033526.0,-3909546.0,51303.0,77800.0,42270.0,75355.0,16189.0,54170.0,49,53.637664794921875,1,1,1,0,0,0,143,-36,15320,143,-36,18114,142,-36,12525
1,1,-3033526,-3909539,53689,81854,43563,76900,19320,59625,1.0,1.0,-3033526.0,-3909530.0,52739.0,80261.0,43057.0,76357.0,18049.0,57413.0,49,51.40173840522766,1,1,1,0,0,0,143,-36,15629,143,-36,18481,142,-36,12777
1,1,-3033526,-3909539,54935,83980,44191,77513,21073,62685,1.0,1.0,-3033530.0,-3909541.0,54042.0,82478.0,43733.0,77101.0,19798.0,60504.0,49,51.366790533065796,1,1,1,0,0,0,143,-36,15935,143,-36,18843,142,-36,13026
1,1,-3033526,-3909539,56134,86031,44778,78001,22864,65798,1.0,1.0,-3033536.0,-3909543.0,55261.0,84573.0,44350.0,77672.0,21560.0,63546.0,49,52.61186075210571,1,1,1,0,0,0,143,-36,16248,143,-36,19216,142,-36,13281
-3033526,-3909539,-3033526,-3909539,57250,87944,45305,78351,24643,68877,1.0,1.0,-3033526.0,-3909532.0,56445.0,86575.0,44919.0,78118.0,23340.0,66655.0,49,53.04532718658447,0,0,0,0,0,0,143,-36,16562,143,-36,19588,142,-36,13537
-3033526,-3909539,-3033526,-3909539,58284,89665,45765,78563,26384,71882,-3033526.0,-3909539.0,-3033526.0,-3909534.0,57527.0,88462.0,45418.0,78446.0,25107.0,69738.0,49,52.344475984573364,0,0,0,0,0,0,143,-36,16872,143,-36,19955,142,-36,13789
-3033526,-3909539,-3033526,-3909539,59256,91210,46167,78641,28112,74855,-3033526.0,-3909539.0,-3033524.0,-3909542.0,58549.0,90124.0,45862.0,78618.0,26845.0,72733.0,49,51.99629187583923,0,0,0,0,0,0,143,-36,17182,143,-36,20322,143,-36,14041
-3033526,-3909539,-3033526,-3909539,60167,92577,46509,78585,29796,77747,-3033526.0,-3909539.0,-3033522.0,-3909542.0,59505.0,91618.0,46250.0,78653.0,28559.0,75696.0,49,51.81008982658386,0,0,0,0,0,0,143,-36,17491,143,-36,20690,143,-36,14293
-3033526,-3909539,-3033526,-3909539,61040,93799,46809,78432,31463,80604,-3033526.0,-3909539.0,-3033530.0,-3909537.0,60398.0,92940.0,46580.0,78569.0,30230.0,78559.0,49,53.81317758560181,0,0,0,0,0,0,143,-36,17809,143,-36,21067,143,-36,14552
158,389,-3033526,-3909539,61858,94846,47070,78225,33086,83381,-3033526.0,-3909539.0,-3033529.0,-3909541.0,61256.0,94111.0,46869.0,78399.0,31888.0,81375.0,49,55.193816900253296,142,-36,134,0,0,0,143,-36,18132,143,-36,21449,143,-36,14814
158,385,-3033526,-3909539,62600,95690,47286,77969,34620,86004,164.0,391.0,-3033518.0,-3909545.0,62056.0,95107.0,47127.0,78167.0,33499.0,84112.0,49,54.151798725128174,142,-36,147,0,0,0,143,-36,18450,143,-36,21827,143,-36,15073
