p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y,p4x,p4y,l0x,l0y,l1x,l1y,l2x,l2y,l3x,l3y,l4x,l4y,iteration,execution_time,gps0_lon,gps0_lat,gps0_alt,gps1_lon,gps1_lat,gps1_alt,gps2_lon,gps2_lat,gps2_alt,gps3_lon,gps3_lat,gps3_alt,gps4_lon,gps4_lat,gps4_alt
-3033526.90248,-3909539.39455,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-17.2138820385,18.3918625813,96942.6049115,84926.9775683,82862.8863424,105947.475357,75145.2864589,49501.954771,49,64.28576374053955,0.0,0.0,0.0,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-104368.929182,258616.251939,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-3033526.90248,-3909539.39455,-6.99333000585,11.401922741,96937.2200285,84925.4325661,82864.6519426,105947.706958,75150.7006213,49502.9725103,49,63.080300092697144,145.1269175,-37.6236946667,176.6,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-104368.276609,258616.340066,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-104368.150186,258616.392241,4.0,-5.0,96941.0344794,84924.5662756,82865.4714871,105948.114711,75146.248361,49504.0992914,49,21.739578008651733,145.1269185,-37.6236888333,176.1,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-104369.575024,258617.837121,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-104368.130606,258617.001422,-0.402956665799,-7.45254663482,96944.3029293,84923.6778902,82868.0243522,105944.085694,75147.4976318,49499.4815661,49,21.322930812835693,145.126936667,-37.6237003333,174.5,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-104367.642039,258617.105642,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-104368.968433,258617.375773,2.0,-2.0,96941.831504,84926.4553315,82868.5037613,105946.214393,75147.030676,49505.4911364,49,21.704374313354492,145.126927833,-37.6236831667,174.2,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-104370.669702,258613.639464,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-104368.537554,258614.815692,-0.113995192473,0.0880362428675,96941.3499847,84923.3506093,82861.7854843,105940.485449,75146.0261741,49498.0927058,49,16.667582035064697,145.12689,-37.6237115,173.4,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-104369.516114,258612.483397,2.0,2.0,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-104371.4895,258613.216733,1.45988776476,-4.05935211978,96941.7395129,84924.5388457,82863.1288168,105947.295872,75142.4576297,49505.3093925,49,21.45298433303833,145.126876167,-37.6237013333,174.1,2.0,2.0,2.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-104368.735721,258612.280636,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-104369.132128,258612.079452,-2.0,-6.0,96942.5268218,84924.0159036,82866.4915603,105947.033455,75143.8628938,49504.2133438,49,21.968796491622925,145.1268735,-37.6236943333,174.3,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-104369.039571,258614.070827,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-104369.732886,258613.311618,-3033527.90248,-3909532.39455,96940.4379307,84925.4743384,82861.3727224,105948.436554,75150.2221045,49502.2148756,49,56.25189757347107,145.126895333,-37.623697,171.2,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
-104368.112709,258613.552884,-3033526.90248,-3909539.39455,96933.6056432,84923.5794734,82860.0649791,105942.633879,75141.1814831,49505.8602261,-104368.801384,258613.553847,-3033523.90248,-3909545.39455,96939.0394812,84924.7605558,82862.8242798,105942.663514,75144.4591722,49499.8963562,49,56.4073588848114,145.126889833,-37.623689,169.7,0.0,0.0,0.0,143.1362385,-35.84156328,63.2729524,143.3707744,-35.96631476,64.82851725,142.7455498,-36.040458,67.94230849
