1614587152,-19
1614587154,-18
1614587155,-18
1614587156,-18
1614587157,-18
1614587159,-19
1614587160,-20
1614587161,-19
1614587162,-18
1614587163,-19
1614587165,-19
1614587166,-20
1614587167,-19
1614587168,-22
1614587170,-23
1614587171,-22
1614587172,-22
1614587173,-22
1614587175,-22
1614587176,-22
1614587177,-22
1614587178,-22
1614587180,-23
1614587181,-22
1614587182,-22
1614587183,-22
1614587184,-22
1614587186,-22
1614587187,-22
1614587188,-22
1614587189,-22
1614587191,-22
1614587192,-23
1614587193,-22
1614587194,-22
1614587196,-22
1614587197,-22
1614587198,-22
1614587199,-22
1614587201,-22
1614587202,-23
1614587203,-22
1614587204,-23
1614587205,-23
1614587207,-22
1614587208,-23
1614587209,-22
1614587210,-20
1614587212,-23
1614587213,-20
1614587214,-26
1614587215,-55
1614587217,-52
1614587218,-47
1614587219,-25
1614587220,-28
1614587222,-24
1614587223,-21
1614587224,-19
1614587225,-19
1614587226,-21
1614587228,-21
1614587229,-20
1614587230,-21
1614587231,-20
1614587233,-20
1614587234,-28
1614587235,-25
1614587236,-23
1614587238,-24
1614587239,-23
1614587240,-24
1614587241,-23
1614587242,-22
1614587244,-22
1614587245,-22
1614587246,-22
1614587247,-22
1614587249,-23
1614587250,-23
1614587251,-23
1614587252,-23
1614587254,-23
1614587255,-19
1614587256,-19
1614587257,-22
1614587259,-54
1614587260,-28
1614587261,-25
1614587262,-26
1614587263,-73
1614587265,-82
1614587266,-75
1614587267,-71
1614587268,-78
1614587270,-77
1614587271,-76
1614587272,-77
1614587273,-81
1614587275,-61
1614587276,-79
1614587277,-59
1614587278,-72
1614587279,-68
1614587281,-64
1614587282,-78
1614587283,-85
1614587284,-88
1614587286,-88
1614587287,-88
1614587288,-88
1614587289,-88
1614587291,-88
1614587292,-82
1614587293,-82
1614587294,-82
1614587296,-87
1614587297,-90
1614587298,-90
1614587299,-90
1614587300,-90
1614587302,-90
1614587303,-90
1614587304,-90
1614587305,-90
1614587307,-90
1614587308,-90
1614587309,-91
1614587310,-93
1614587312,-90
1614587313,-89
1614587314,-90
1614587315,-89
1614587316,-90
1614587318,-89
1614587319,-89
1614587320,-89
1614587321,-89
1614587323,-89
1614587324,-90
1614587325,-84
1614587326,-86
1614587328,-87
1614587329,-86
1614587331,-86
1614587352,-87
1614587355,-87
1614587357,-87
1614587360,-87
1614587362,-87
1614587365,-87
1614587368,-87
1614587370,-87
1614587373,-87
1614587375,-87
