Time: 1615429274, System 1, Ping: 2208
Time: 1615429284, System 1, Ping: 2662
Time: 1615429303, System 1, ERROR: Ping timed out.
Time: 1615429316, System 1, ERROR: Ping timed out.
Time: 1615429327, System 1, ERROR: Ping timed out.
Time: 1615429338, System 1, ERROR: Ping timed out.
Time: 1615429349, System 1, ERROR: Ping timed out.
Time: 1615429361, System 1, ERROR: Ping timed out.
Time: 1615429373, System 1, ERROR: Ping timed out.
Time: 1615429385, System 1, ERROR: Ping timed out.
Time: 1615429397, System 1, ERROR: Ping timed out.
Time: 1615429409, System 1, ERROR: Ping timed out.
Time: 1615429420, System 1, ERROR: Ping timed out.
Time: 1615429432, System 1, ERROR: Ping timed out.
Time: 1615429443, System 1, ERROR: Ping timed out.
Time: 1615429455, System 1, ERROR: Ping timed out.
Time: 1615429466, System 1, ERROR: Ping timed out.
Time: 1615429477, System 1, ERROR: Ping timed out.
Time: 1615429488, System 1, ERROR: Ping timed out.
Time: 1615429499, System 1, ERROR: Ping timed out.
Time: 1615429510, System 1, ERROR: Ping timed out.
Time: 1615429522, System 1, ERROR: Ping timed out.
Time: 1615429533, System 1, ERROR: Ping timed out.
Time: 1615429544, System 1, ERROR: Ping timed out.
Time: 1615429556, System 1, ERROR: Ping timed out.
Time: 1615429568, System 1, ERROR: Ping timed out.
Time: 1615429580, System 1, ERROR: Ping timed out.
Time: 1615429592, System 1, ERROR: Ping timed out.
Time: 1615429602, System 1, ERROR: Ping timed out.
Time: 1615429615, System 1, ERROR: Ping timed out.
Time: 1615429626, System 1, ERROR: Ping timed out.
Time: 1615429628, System 2, Ping: 936
Time: 1615429639, System 1, ERROR: Ping timed out.
Time: 1615429640, System 2, Ping: 764
Time: 1615429651, System 1, ERROR: Ping timed out.
Time: 1615429652, System 2, Ping: 1518
Time: 1615429664, System 1, ERROR: Ping timed out.
Time: 1615429672, System 2, ERROR: Ping timed out.
Time: 1615429678, System 1, ERROR: Ping timed out.
Time: 1615429684, System 2, ERROR: Ping timed out.
Time: 1615429690, System 1, ERROR: Ping timed out.
Time: 1615429696, System 2, Ping: 5798
Time: 1615429702, System 1, ERROR: Ping timed out.
Time: 1615429705, System 2, Ping: 2906
Time: 1615429716, System 1, ERROR: Ping timed out.
Time: 1615429717, System 2, Ping: 1142
Time: 1615429726, System 1, ERROR: Ping timed out.
Time: 1615429728, System 2, Ping: 1483
Time: 1615429737, System 1, ERROR: Ping timed out.
Time: 1615429739, System 2, Ping: 1647
Time: 1615429749, System 1, ERROR: Ping timed out.
Time: 1615429750, System 2, Ping: 1109
Time: 1615429760, System 1, ERROR: Ping timed out.
Time: 1615429761, System 2, Ping: 744
Time: 1615429771, System 1, ERROR: Ping timed out.
Time: 1615429771, System 2, Ping: 741
Time: 1615429782, System 1, ERROR: Ping timed out.
Time: 1615429783, System 2, Ping: 1113
Time: 1615429793, System 1, ERROR: Ping timed out.
Time: 1615429794, System 2, Ping: 1007
Time: 1615429803, System 1, ERROR: Ping timed out.
Time: 1615429805, System 2, Ping: 1253
Time: 1615429813, System 1, ERROR: Ping timed out.
Time: 1615429814, System 2, Ping: 735
Time: 1615429825, System 1, ERROR: Ping timed out.
Time: 1615429826, System 2, Ping: 1480
Time: 1615429835, System 1, ERROR: Ping timed out.
Time: 1615429846, System 2, Ping: 10849
Time: 1615429858, System 1, ERROR: Ping timed out.
Time: 1615429860, System 2, Ping: 1311
Time: 1615429870, System 1, ERROR: Ping timed out.
Time: 1615429871, System 2, Ping: 1400
Time: 1615429881, System 1, ERROR: Ping timed out.
Time: 1615429883, System 2, Ping: 2058
Time: 1615429893, System 1, ERROR: Ping timed out.
Time: 1615429895, System 2, Ping: 1259
Time: 1615429905, System 1, ERROR: Ping timed out.
Time: 1615429907, System 2, Ping: 1236
Time: 1615429917, System 1, ERROR: Ping timed out.
